generatedAt=2026-03-24T17:24:27.390Z
reportGeneratedAt=2026-03-24T17:23:48.781Z
cc=5
totalTokens=207
withAnyPairs=207
withWsolPairs=207
withWsolLiq1k=4
withWsolLiq10k=4

token | occurrences | wsolPairs | bestWsolLiqUsd | change24h | class | gmgn
6Hdni4Vp5tyLTknpgvKAA8KywVqJGt1N1W23xmMnW52J | 1 | 1 | 32648.33 | 160 | big_gain | https://gmgn.ai/sol/token/6Hdni4Vp5tyLTknpgvKAA8KywVqJGt1N1W23xmMnW52J
9rHkmLKiqm9yzpGUr8StkTPD2tVjEdKzRngZ7HFZHnJe | 1 | 1 | 23135.97 | 109 | big_gain | https://gmgn.ai/sol/token/9rHkmLKiqm9yzpGUr8StkTPD2tVjEdKzRngZ7HFZHnJe
HauEcf6gJ9e1jEPrSSUw9p6spFbw6EJH9LwRGusmbRFs | 1 | 1 | 20235.88 | 59.98 | gain | https://gmgn.ai/sol/token/HauEcf6gJ9e1jEPrSSUw9p6spFbw6EJH9LwRGusmbRFs
9VLB7nALNiJPCvxqsqVoAuB9DjcsoByfeW4X2GbRmoCQ | 1 | 1 | 16233.67 | 13.48 | gain | https://gmgn.ai/sol/token/9VLB7nALNiJPCvxqsqVoAuB9DjcsoByfeW4X2GbRmoCQ
3syvvUTvDYpexJQRvfExNYCY4c1zBxGxx7UZ75ihd7va | 1 | 1 | 0.05 | 298514183 | moon | https://gmgn.ai/sol/token/3syvvUTvDYpexJQRvfExNYCY4c1zBxGxx7UZ75ihd7va
3jN6oLmy5eejkky3EtVy5nKS88sV4ibAzpRT7e7JcqLv | 1 | 1 | 0.01 | 1727947190 | moon | https://gmgn.ai/sol/token/3jN6oLmy5eejkky3EtVy5nKS88sV4ibAzpRT7e7JcqLv
7i3CCP5rJTMe8oVaB7a1kcasNSwYemYpZY62afj6BgsC | 1 | 1 | 0 | 88.17 | no_liquidity | https://gmgn.ai/sol/token/7i3CCP5rJTMe8oVaB7a1kcasNSwYemYpZY62afj6BgsC
6o5jmnWiaWeAMcCRwd3nj4abivUzNpxT8Xasd6MJefNR | 1 | 1 | 0 | 1408 | no_liquidity | https://gmgn.ai/sol/token/6o5jmnWiaWeAMcCRwd3nj4abivUzNpxT8Xasd6MJefNR
2o3gz6mTosWjz3pedh2zuFEYjEXKeVfbW1MF8tQrCMxo | 1 | 1 | 0 | 291 | no_liquidity | https://gmgn.ai/sol/token/2o3gz6mTosWjz3pedh2zuFEYjEXKeVfbW1MF8tQrCMxo
9BmgtSSMnNrCFU9Yc7WnK8C85R8TyCfd5cfToTXiQFVZ | 1 | 1 | 0 | 6.79 | no_liquidity | https://gmgn.ai/sol/token/9BmgtSSMnNrCFU9Yc7WnK8C85R8TyCfd5cfToTXiQFVZ
WQeFs8FZhvM2KCzeiNQWJ7mKzfqyPAaAHVKdjfsBgCP | 1 | 1 | 0 | 308 | no_liquidity | https://gmgn.ai/sol/token/WQeFs8FZhvM2KCzeiNQWJ7mKzfqyPAaAHVKdjfsBgCP
C18xPbzJWgP18rgmoZoqJ6Dir93meu4wGEWQCk37W8kf | 1 | 1 | 0 | 23.91 | no_liquidity | https://gmgn.ai/sol/token/C18xPbzJWgP18rgmoZoqJ6Dir93meu4wGEWQCk37W8kf
4m3NdHwH61t4PFeezAYSRnPKF5VSTLykTYK6HpGYM4bo | 1 | 1 | 0 | 105 | no_liquidity | https://gmgn.ai/sol/token/4m3NdHwH61t4PFeezAYSRnPKF5VSTLykTYK6HpGYM4bo
